"Datenerfassung";"Akustik";"Druck";"Weg";"Kraft";"Moment";"Temperatur";"Volumenstrom";"Beschleunigung";"Schwingungen";"Fuellstand";"sonstige"
"0184ebd9-988b-7bb9-a580-fa343f48f8bc";"";"0184ebd9-988b-7bb9-acf1-3eeb9f37f842";"0184ebd9-988c-7bbb-93a3-8a97bf0e7983";"0184ebd9-988c-7bbb-9870-4fa72eb37059";"0184ebd9-988c-7bbb-9cc6-95a4afa842e6";"0184ebd9-988c-7bbb-a231-8d0e021ea8de";"0184ebd9-988c-7bbb-a7a6-6ab8bc91787c";"0184ebd9-988c-7bbb-ab1e-4a283c013a87";"";"";"0184ebd9-988c-7bbb-b0ed-2bc47886410a"
"0184ebd9-988b-7bb9-a63b-3363c2ea2500";"";"0184ebd9-988b-7bb9-ad26-ecdae251dc50";"0184ebd9-988c-7bbb-93da-aa6d26b5e1fc";"0184ebd9-988c-7bbb-9896-77b3da01bff6";"0184ebd9-988c-7bbb-9d18-0d7c90cd76ba";"0184ebd9-988c-7bbb-a246-cbd9ea64168f";"0184ebd9-988c-7bbb-a7c8-da2b633e7511";"0184ebd9-988c-7bbb-ab70-4532eb2a6f7c";"";"";"0184ebd9-988c-7bbb-b12d-7f433902bda2"
"0184ebd9-988b-7bb9-a65b-550205a68a04";"";"0184ebd9-988b-7bb9-ad69-7b110d486b63";"0184ebd9-988c-7bbb-943a-da47f302a95c";"0184ebd9-988c-7bbb-98da-0a1236315f09";"0184ebd9-988c-7bbb-9d4b-ace3782e6bc6";"0184ebd9-988c-7bbb-a2a8-661580f4461c";"0184ebd9-988c-7bbb-a82d-76f4f3172255";"0184ebd9-988c-7bbb-ab94-b66d3d3671ff";"";"";"0184ebd9-988c-7bbb-b166-d4277a43aee7"
"0184ebd9-988b-7bb9-a695-0c5d9da8afe6";"";"0184ebd9-988b-7bb9-ad96-201f9b722b5a";"0184ebd9-988c-7bbb-9440-8a489a2b4738";"0184ebd9-988c-7bbb-992c-682df89082b0";"0184ebd9-988c-7bbb-9da0-d07601cba663";"0184ebd9-988c-7bbb-a2c0-8ba93f63085c";"0184ebd9-988c-7bbb-a87f-6fc0f1dbc9da";"0184ebd9-988c-7bbb-abdf-f474aaee6af6";"";"";"0184ebd9-988c-7bbb-b192-71bb33e1a152"
"0184ebd9-988b-7bb9-a6cd-0b24af37bc49";"";"0184ebd9-988b-7bb9-adfa-9d9be1ca8ca9";"0184ebd9-988c-7bbb-949c-45bbf9b955d4";"0184ebd9-988c-7bbb-9959-3de2c352d320";"0184ebd9-988c-7bbb-9de0-b6abf63e68c4";"0184ebd9-988c-7bbb-a319-f28d8782ed65";"";"";"";"";"0184ebd9-988c-7bbb-b1fa-44a26088fd5a"
"0184ebd9-988b-7bb9-a71a-cfe480f1f9bd";"";"0184ebd9-988b-7bb9-ae37-8468fafa941a";"0184ebd9-988c-7bbb-94e7-e799dcaf62d1";"0184ebd9-988c-7bbb-998d-72211b9d6586";"0184ebd9-988c-7bbb-9e36-73823a8e1bfc";"0184ebd9-988c-7bbb-a350-11bd6316decd";"";"";"";"";"0184ebd9-988c-7bbb-b26f-86fc8b79fce8"
"0184ebd9-988b-7bb9-a768-9686657925fd";"";"0184ebd9-988b-7bb9-ae4b-17bd29feb36c";"0184ebd9-988c-7bbb-9518-87046e835a10";"0184ebd9-988c-7bbb-99ce-b9058e3c7818";"0184ebd9-988c-7bbb-9e4e-a1128dc24a5c";"0184ebd9-988c-7bbb-a38e-1797d4efe338";"";"";"";"";""
"0184ebd9-988b-7bb9-a7b7-bceb7a86411c";"";"0184ebd9-988b-7bb9-aea5-aa762bbe9261";"0184ebd9-988c-7bbb-9576-da9a02c06ce5";"";"0184ebd9-988c-7bbb-9ea6-4b7f58fa5526";"0184ebd9-988c-7bbb-a3d3-a657c53a5274";"";"";"";"";""
"0184ebd9-988b-7bb9-a7c7-bfb1b86af4af";"";"0184ebd9-988b-7bb9-aeef-ad43c3c02f9d";"";"";"0184ebd9-988c-7bbb-9ee3-dd182778018e";"0184ebd9-988c-7bbb-a40d-a28f5b376f2b";"";"";"";"";""
"0184ebd9-988b-7bb9-a802-ee73acb9cf2a";"";"0184ebd9-988b-7bb9-af08-d1e28e2dee91";"";"";"0184ebd9-988c-7bbb-9f19-0f5a364238a1";"0184ebd9-988c-7bbb-a462-d65991a8100a";"";"";"";"";""
"0184ebd9-988b-7bb9-a87f-cab49cf328b4";"";"0184ebd9-988b-7bb9-af6c-03ec06d354cc";"";"";"";"0184ebd9-988c-7bbb-a4b5-38dd44dec52b";"";"";"";"";""
"0184ebd9-988b-7bb9-a893-58a0e89755e8";"";"0184ebd9-988b-7bb9-afa9-4ad47c116bca";"";"";"";"";"";"";"";"";""
"0184ebd9-988b-7bb9-a8d2-ec152fafa205";"";"0184ebd9-988b-7bb9-afc2-f3ecf01ec673";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b035-53c4df4ceaa6";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b04a-915584cbd834";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b0f3-1542bf8d5fed";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b11d-2e53efed30f9";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b14d-64bd3544d6b9";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b196-99fb4381823b";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b1f1-22eed49da9fb";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b200-4f27e1e4ecea";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b26a-1788b6d140c2";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b297-640d452ef4ba";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b2e6-94e9e653e66d";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b322-ad2484c5e783";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b36b-eac46d3cb33a";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b3b2-6ccd1b934b53";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b3ef-7693f47a4415";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b405-5cf34d36262e";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b463-ba0249cac79c";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b48b-62ba0532f2bc";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b4d1-71c195a6e706";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b50c-824cdbe7c73f";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b57a-2736db3a1111";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b585-566ee51488e0";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b5f7-66496ecb2d2d";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b67b-72a3a23ad397";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b693-580859d3a398";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b6fe-198427841260";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b714-a7f1e6e6216d";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b75c-8b63586cbeb5";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b7a5-1472bf6e61a6";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b7d8-fe7b41456f31";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b826-8e533653b9a1";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b872-5c2f18e5cd3b";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b892-3810c1147120";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b8ef-c4da539559f0";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b91a-a00d6c00b9ba";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b96f-f0c1de70b6b3";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b997-42d6c7f54c0d";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-b9f8-2fd2fd6d4e92";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-ba27-8fb379f8824f";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-ba5b-e1a52039fe1e";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-baa7-03af1e126e9f";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-baf0-a558c2948e57";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bb1e-fc5a5991f852";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bb87-646bbaa9a20e";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bbf1-63973653b21e";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bc3c-2ff3d740dd5e";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bc70-ed9a100a24dd";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bcb4-81b5cf59ca09";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bcf2-d23e360009bd";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bd33-2f48f7a868f2";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bd7a-fe02eb1e3573";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bdb4-4125507431a5";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bddb-9e34ed0ac9d4";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-be00-6e332aae8454";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-be63-cc1d93cd7036";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-beb8-93b91fedf6fd";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bee8-212e29f8ffb3";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bf0b-8ac992cecf10";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bf54-2e5e70e4e45e";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bf88-fa0059d5a748";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bb9-bfd8-2298d75171a2";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8002-afd53c8a4f26";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8051-e4af841965f1";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8089-4ba1eecb242e";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-813a-824dda198d3b";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-815a-cd1b41f3fba6";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-81be-82f24102228f";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-81ff-5c01dcec45ba";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8203-06be5cf6bbb8";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8271-d7a0eacb5efd";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-828c-2a01abd07824";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-82f2-a3655161db0d";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8310-d3fc5137ddf6";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8365-2c49aaa69770";"";"";"";"";"";"";"";"";""
